sample_id,group,PROBE_2318743,PROBE_2318744,PROBE_2318746,PROBE_2318747,PROBE_2318751,PROBE_2318754,PROBE_2318755,PROBE_2318759,PROBE_2318761,PROBE_2318763,PROBE_2318765,PROBE_2318767,PROBE_2318769,PROBE_2318771,PROBE_2318773,PROBE_2318775,PROBE_2318777,PROBE_2318779,PROBE_2318781,PROBE_2318783
GSM2256862,case_mycn_amplified,7.465974465,10.68956125,10.47967923,9.465974465,6.325530332,7.553053253,5.517275693,3.419538892,2.944858446,5.292781749,10.81025029,3.053111336,3.722466024,2.321928095,2.070389328,7.125155131,1.765534746,6.266786541,5.51412226,4.963474124
GSM2256863,case_mycn_amplified,8.431706524,10.2935866,10.66906221,9.439415361,8.351822645,7.465974465,5.974988112,2.678071905,3.62058641,5.087462841,11.17230249,2.485426827,3.678071905,2.0,1.925999419,6.811214118,2.744161096,5.804776378,5.804776378,5.017921908
GSM2256864,case_mycn_amplified,8.893604905,11.10571212,10.85642553,9.791162889,6.815063017,7.744161096,5.850499414,3.364572432,4.314696526,5.563768278,10.59479112,3.232660757,3.972692654,2.5360529,2.459431619,6.786596362,2.137503524,6.074676686,5.708739041,5.686500527
GSM2256866,case_mycn_amplified,8.727920455,10.60483118,10.4738072,9.445221817,6.230741003,7.917073663,5.475733431,3.472487771,4.10433666,4.807354922,11.69387894,2.981852653,3.40599236,2.632268215,2.0,6.935459748,2.887525271,6.623515741,5.857980995,4.921245889
GSM2256867,case_mycn_amplified,8.556122818,10.42006548,10.40002552,9.247452865,6.824004051,7.451211112,5.581953751,3.678071905,3.711494907,5.100136671,11.37623394,3.40599236,3.857980995,2.485426827,2.070389328,6.855491443,2.632268215,5.672425342,5.217230716,4.949534933
GSM2256868,case_mycn_amplified,8.616548844,10.67295565,10.82615121,9.828929828,7.321026129,7.508587112,5.794415866,3.744161096,2.887525271,5.165911939,11.06373212,2.765534746,3.925999419,2.378511623,2.03562391,7.025693274,3.153805336,5.885086225,6.285402219,4.578938713
GSM2256846,control_non_mycn,9.020146573,10.40226598,9.989536421,9.376993567,6.892391026,7.297374861,5.54225805,3.867896464,5.044394119,6.251719093,11.94752736,3.292781749,4.087462841,2.169925001,2.263034406,7.354028938,3.378511623,6.572889668,6.794415866,5.963474124
GSM2256847,control_non_mycn,9.521207816,11.11322124,11.10878579,10.23888237,7.649615459,8.247927513,7.269594252,2.350497247,4.017921908,5.422905743,11.1836974,3.232660757,4.307428525,2.5360529,1.963474124,6.87774425,2.232660757,5.8899602,6.011227255,5.459431619
GSM2256849,control_non_mycn,7.854868383,11.11647393,10.83920379,10.03974158,6.100136671,8.140574178,5.459431619,4.5360529,3.523561956,4.705977902,11.30577677,3.263034406,4.070389328,2.786596362,2.070389328,7.296457407,3.053111336,6.74819285,5.8899602,4.911691582
GSM2256850,control_non_mycn,9.308111458,10.89079626,11.09103862,10.11048331,8.419960178,8.30833903,6.03562391,3.596935142,4.62058641,5.472487771,11.37444181,3.572889668,3.64385619,2.560714954,2.232660757,7.03562391,2.169925001,5.942514505,5.469234794,5.754887502
GSM2256851,control_non_mycn,9.33650656,10.8622499,10.77437527,9.631177056,8.095397023,8.011786331,5.981852653,4.760220946,5.590961241,5.563768278,11.64205169,3.03562391,4.364572432,2.232660757,2.584962501,7.167919866,3.523561956,6.960001932,6.431288654,5.129283017
GSM2256852,control_non_mycn,7.937226674,10.47623991,10.65006444,9.339181934,6.87282876,7.479780264,5.697662633,3.867896464,4.185866545,5.385431037,11.87716908,3.0,3.807354922,2.5360529,2.03562391,6.956521363,3.572889668,6.407692649,6.316507819,4.070389328
