sample_id,dataset,hypoxia_stroma_proxy,mycn_expression_z,selected_gene_count,clinical_survival_required,notes
TARGET-30-PARFRE-01A,TARGET-NBL,-0.322439,-0.135523,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALUYS-01A,TARGET-NBL,0.017299,0.165856,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASFGG-01A,TARGET-NBL,0.180097,-0.574956,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPTAN-01A,TARGET-NBL,1.762503,-0.676067,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALEVG-01A,TARGET-NBL,-0.179499,1.709277,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATGJU-01A,TARGET-NBL,0.143473,-0.467580,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATFCY-01A,TARGET-NBL,-0.335819,0.101591,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPTDH-01A,TARGET-NBL,1.293479,-0.139052,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASVRU-01A,TARGET-NBL,-0.257368,1.640107,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPBGH-01A,TARGET-NBL,0.442110,-1.996520,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARKGJ-01A,TARGET-NBL,1.756666,-0.732227,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPEAV-01A,TARGET-NBL,-0.296238,-0.112879,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAMZMG-01A,TARGET-NBL,-0.326253,2.145543,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANUKV-01A,TARGET-NBL,-1.264053,2.170822,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASPBZ-01A,TARGET-NBL,0.032094,-0.735464,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAIVHE-01A,TARGET-NBL,0.926966,-0.177484,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATYIL-02A,TARGET-NBL,-0.443621,1.574641,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATFXV-01A,TARGET-NBL,0.034203,2.361021,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATYIL-01A,TARGET-NBL,-0.076763,1.412287,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPEFE-01A,TARGET-NBL,0.351730,1.032412,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASXRJ-01A,TARGET-NBL,-0.240772,-0.205185,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPZYZ-01A,TARGET-NBL,1.690305,1.250691,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASUML-01A,TARGET-NBL,-0.473345,0.053263,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASSRN-01A,TARGET-NBL,0.461471,1.783795,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASNZU-01A,TARGET-NBL,0.173649,1.999950,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPVRN-01A,TARGET-NBL,-0.355943,-0.892305,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPVEB-04A,TARGET-NBL,-0.542205,-0.579975,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASMDM-01A,TARGET-NBL,0.183622,-0.071742,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASZPI-01A,TARGET-NBL,0.360915,2.070991,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALKUC-01A,TARGET-NBL,2.394436,0.931655,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANNMS-01A,TARGET-NBL,-0.270679,0.224960,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANGXK-01A,TARGET-NBL,0.748199,-1.342567,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPTFZ-01A,TARGET-NBL,0.252184,1.886333,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASXRG-01A,TARGET-NBL,-0.414465,1.303713,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARAMT-01A,TARGET-NBL,-0.230680,0.128217,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARFWB-01A,TARGET-NBL,-0.294457,-0.228748,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PARACS-01A,TARGET-NBL,-0.037324,-0.195329,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPUAR-01A,TARGET-NBL,-0.375988,-0.014381,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASTKC-01A,TARGET-NBL,0.586463,-0.398018,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALZZV-01A,TARGET-NBL,-1.063698,1.582992,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATHVK-01A,TARGET-NBL,0.040539,-0.376869,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASNPG-01A,TARGET-NBL,-0.208851,-0.211119,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASNPG-02A,TARGET-NBL,0.168993,-0.445597,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PANRVJ-01A,TARGET-NBL,0.708198,-0.423611,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PASMJG-01A,TARGET-NBL,0.866416,-1.665181,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PALXTB-01A,TARGET-NBL,-0.349096,-0.120803,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PAPVFD-01A,TARGET-NBL,-0.375510,0.192164,15,true,expression_proxy_only_no_pfs_os_labels
TARGET-30-PATDWN-01A,TARGET-NBL,-0.391314,2.346688,15,true,expression_proxy_only_no_pfs_os_labels
